Order ID,Product ID,Sales,Order_Year,Order_Month,Order_Day,Order_Weekday,Shipping_Delay,Log_Sales,Scaled_Sales
CA-2017-152156,FUR-BO-10001798,261.96,2017,11,8,2,3,5.572001929355964,0.0115520622018623
CA-2017-152156,FUR-CH-10000454,731.94,2017,11,8,2,3,6.597063843147503,0.0323126970908607
CA-2017-138688,OFF-LA-10000240,14.62,2017,6,12,0,4,2.74855214441154,0.0006262027324278
US-2016-108966,FUR-TA-10000577,957.5775,2016,10,11,1,7,6.86545041472046,0.04227988240676
US-2016-108966,OFF-ST-10000760,22.368,2016,10,11,1,7,3.15136756508544,0.0009684585712294
CA-2015-115812,FUR-FU-10001487,48.86,2015,6,9,1,5,3.909219078095412,0.0021387014315199
CA-2015-115812,OFF-AR-10002833,7.28,2015,6,9,1,5,2.1138429683971687,0.0003019696584986
CA-2015-115812,TEC-PH-10002275,907.152,2015,6,9,1,5,6.8114117654723865,0.0400524144408993
CA-2015-115812,OFF-BI-10003910,18.504,2015,6,9,1,5,2.970619572738916,0.0007977723862617
CA-2015-115812,OFF-AP-10002892,114.9,2015,6,9,1,5,4.752727750345706,0.0050559156280164
CA-2015-115812,FUR-TA-10001539,1706.184,2015,6,9,1,5,7.442600508432343,0.0753484091994552
CA-2015-115812,TEC-PH-10002033,911.424,2015,6,9,1,5,6.816104794316803,0.0402411233907393
CA-2018-114412,OFF-PA-10002365,15.552,2018,4,15,6,5,2.8065069404432417,0.000667372381597
CA-2017-161389,OFF-BI-10003656,407.976,2017,12,5,1,5,6.013656474614479,0.0180020917008878
US-2016-118983,OFF-AP-10002311,68.81,2016,11,22,1,4,4.24577726598231,0.0030199616256463
US-2016-118983,OFF-BI-10000756,2.544,2016,11,22,1,4,1.2652560327428346,9.276423096067168e-05
CA-2015-105893,OFF-ST-10004186,665.88,2015,11,11,2,7,6.502610119684893,0.0293945994254978
CA-2015-167164,OFF-ST-10000107,55.5,2015,5,13,2,2,4.034240638152395,0.0024320130951289
CA-2015-143336,OFF-AR-10003056,8.56,2015,8,27,3,5,2.25758772706331,0.0003585116659413
CA-2015-143336,TEC-PH-10001949,213.48,2015,8,27,3,5,5.368216493927704,0.0094105336699703
CA-2015-143336,OFF-BI-10002215,22.72,2015,8,27,3,5,3.1663185741295248,0.0009840076232761
CA-2017-137330,OFF-AR-10000246,19.46,2017,12,9,5,4,3.0184717605234805,0.0008400021980705
CA-2017-137330,OFF-AP-10001492,60.34,2017,12,9,5,4,4.116432158686106,0.0026458125607716
US-2018-156909,FUR-CH-10002774,71.372,2018,7,16,0,2,4.28181948425685,0.0031331339874183
CA-2016-106320,FUR-TA-10000577,1044.63,2016,9,25,6,5,6.952374853558705,0.0461252910809047
CA-2017-121755,OFF-BI-10001634,11.648,2017,1,16,0,4,2.537499099907171,0.0004949192588968
CA-2017-121755,TEC-AC-10003027,90.57,2017,1,16,0,4,4.517103707119641,0.0039811757521721
US-2016-150630,FUR-BO-10004834,3083.43,2016,9,17,5,4,8.034122154276439,0.1361861073107225
US-2016-150630,OFF-BI-10000474,9.618,2016,9,17,5,4,2.36255067416148,0.0004052471689681
US-2016-150630,FUR-FU-10004848,124.2,2016,9,17,5,4,4.829912458665998,0.0054667286508423
US-2016-150630,OFF-EN-10001509,3.264,2016,9,17,5,4,1.4502076868635432,0.0001245691101471
US-2016-150630,OFF-AR-10004042,86.304,2016,9,17,5,4,4.4693962808107885,0.003792731842992
US-2016-150630,OFF-BI-10001525,6.858,2016,9,17,5,4,2.061532121136268,0.0002833284654198
US-2016-150630,OFF-AR-10001683,15.76,2016,9,17,5,4,2.818995095053937,0.0006765604578064
CA-2018-107727,OFF-PA-10000249,29.472,2018,10,19,4,4,3.416808229176303,0.0012822667125363
CA-2017-117590,TEC-PH-10004977,1097.544,2017,12,8,4,2,7.001740945642436,0.0484626846604537
CA-2017-117590,FUR-FU-10003664,190.92,2017,12,8,4,2,5.257078618531439,0.0084139807887928
CA-2016-117415,OFF-EN-10002986,113.328,2016,12,27,1,4,4.739071510179493,0.0049864749751259
CA-2016-117415,FUR-BO-10002545,532.3992,2016,12,27,1,4,6.279270111934266,0.0234982928731096
CA-2016-117415,FUR-CH-10004218,212.058,2016,12,27,1,4,5.361564429111865,0.0093477190335769
CA-2016-117415,TEC-PH-10000486,371.168,2016,12,27,1,4,5.919345365229957,0.0163761555993638
CA-2018-120999,TEC-PH-10004093,147.168,2018,9,10,0,5,4.998346765120501,0.0064813042968921
CA-2017-101343,OFF-ST-10003479,77.88,2017,7,17,0,5,4.36792771029438,0.0034206147565097
CA-2018-139619,OFF-ST-10003282,95.616,2018,9,19,2,4,4.570744358973074,0.0042040749471376
CA-2017-118255,TEC-AC-10000171,45.98,2017,3,11,5,2,3.849721979230767,0.0020114819147738
CA-2017-118255,OFF-BI-10003291,17.46,2017,3,11,5,2,2.9156062290747062,0.0007516553114413
CA-2015-146703,OFF-ST-10001713,211.96,2015,10,20,1,5,5.361104354646802,0.0093433900361321
CA-2017-169194,TEC-AC-10002167,45.0,2017,6,20,1,5,3.828641396489095,0.0019681919403255
CA-2017-169194,TEC-PH-10003988,21.8,2017,6,20,1,5,3.126760535960395,0.0009433680554267
CA-2016-115742,OFF-BI-10004410,38.22,2016,4,18,0,4,3.6691868207682,0.0016686959946525
CA-2016-115742,OFF-LA-10002762,75.18,2016,4,18,0,4,4.333098961050458,0.0033013464595603
CA-2016-115742,FUR-FU-10001706,6.16,2016,4,18,0,4,1.9685099809725544,0.0002524954019862
